record_id,title,type_of_reference,authors,secondary_title,abstract,year,doi,volume,commu_AB,commu_RP,indiv_AB,indiv_RP,letha_ER,letha_ES,letha_NN,letha_RP,molec_AH,molec_AJ,molec_EA,popul_CB,popul_RP,subin_RP,subin_RT,asreview_prior,exported_notes_1,included,asreview_ranking
18,Chronic oral toxicity protocol for adult solitary bees (Osmia bicornis L.): Reduced survival under long-term exposure to a “bee-safe” insecticide,JOUR,"Azpiazu, C.; Sgolastra, F.; Ippolito, A.; Albacete, S.; Brandt, A.; Colli, M.; Grossar, D.; Jeker, L.; Malagnini, V.; Sancho, G.; Splitt, A.; Straub, L.; Strobl, V.; Boranski, M.; Jachuła, J.; Martins, C.; Medrzycki, P.; Simon-Delso, N.; Tosi, S.; Bosch, J.",Environmental Pollution,"Pollinators are essential for crop productivity. Yet, in agricultural areas, they may be threatened by pesticide exposure. Current pesticide risk assessments predominantly focus on honey bees, with a lack of standardized protocols for solitary bees. This study addresses this gap by developing a long-term oral exposure protocol tailored for O. bicornis. We conducted initial trials to determine optimal container sizes and feeding methods, ensuring high survival rates and accurate syrup consumption measurements. A validation test involving five laboratories was then conducted with the insecticide Flupyradifurone (FPF). Control mortality thresholds were set at ≤ 15% at 10 days. Three laboratories achieved ≤10%, demonstrating the protocol's effectiveness in maintaining healthy test populations. The seasonal timing of experiments influenced control mortality, underscoring the importance of aligning tests with the natural flight period of the population used. Our findings revealed dose-dependent effects of FPF on syrup consumption, showing stimulatory effects at lower concentrations and inhibitory effects at higher ones. The 10-day median lethal daily dose (LDD50) of FPF for O. bicornis (531.92 ng/bee/day) was 3.4-fold lower than that reported for Apis mellifera (1830 ng/bee/day), indicating Osmia's higher susceptibility. Unlike other insecticides, FPF did not exhibit time-reinforced toxicity. This study introduces a robust protocol for chronic pesticide exposure in solitary bees, addressing a critical gap in current risk assessment. Based on its low risk to honey bees and bumblebees, FPF is approved for application during flowering. However, our results suggest that it may threaten Osmia populations under realistic field conditions. Our findings underscore the need for comparative toxicity studies to ensure comprehensive protection of all pollinators and the importance of accounting for long term exposure scenarios in risk assessment. By enhancing our understanding of chronic pesticide effects in solitary bees, our study should contribute to the development of more effective conservation strategies and sustainable agricultural practices. © 2024 The Authors",2024,10.1016/j.envpol.2024.125129,363,,0,,,,,,,,0.0,,,,,,0,,1,11
168,The influence of sub-lethal neonicotinoid doses and ambient temperature on individual Apis mellifera scutellata flight efficiency,JOUR,"['Bester, L.C.', 'Wege, M.', 'Weldon, C.W.', 'Pirk, C.W.W.']",Journal of Apicultural Research,"Honey bee (Apis mellifera) thermoregulation plays an integral part in their behaviour and physiology and has been shown to be vulnerable to the effects of neonicotinoid insecticides. Flight muscles are a crucial source of physiological heat as well as being vital for behavioural heat regulation, and are negatively affected by neonicotinoid insecticides. In this study, we evaluated the flight efficiency and capacity of Apis mellifera scutellata under the influence of both elevated ambient temperatures and sublethal neonicotinoid exposure. The various aspects of flight; success, distance, speed, and duration, were not notably affected by these factors. However, the honey bees’ ability to initiate a successful flight was significantly affected by neonicotinoid exposure. Such a reduction in honey bee flight capacity, and flight muscle function in general, especially under the increasing frequency and intensity of hot weather events, is cause for concern when considering legislation and use of these neonicotinoids in the agricultural and suburban setting. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2024,10.1080/00218839.2024.2406108,,,0,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0,,1,12
20,"Combined nutritional stress and a new systemic pesticide (flupyradifurone, Sivanto®) reduce bee survival, food consumption, flight success, and thermoregulation",JOUR,"['Tong, L.', 'Nieh, J.C.', 'Tosi, S.']",Chemosphere,"Flupyradifurone (FPF, Sivanto®) is a new butenolide insecticide that, like the neonicotinoids, is a systemic nicotinic acetylcholine receptor (nAChR) agonist. However, FPF is considered bee-safe (according to standard Risk Assessment tests), and is thus a potential solution to the adverse effects of other pesticides on beneficial insects. To date, no studies have examined the impact of nutritional stress (decreased food diversity and quality) and FPF exposure on bee health although both stressors can occur, especially around agricultural monocultures. We therefore tested the effects of a field-realistic FPF concentration (4 ppm, FPFdaily dose = 241 ± 4 ng/bee/day, 1/12 of LD50) and nutritional stress (nectar with low-sugar concentrations) on honey bee (Apis mellifera L.) mortality, food consumption, thermoregulation, flight success (unsuccessful vs. successful), and flight ability (duration, distance, velocity). Flight and thermoregulation are critical to colony health: bees fly to collect food and reproduce, and they thermoregulate to increase flight efficiency and to rear brood. We studied the effects across seasons because seasonality can influence bee sensitivity to environmental stress. We demonstrate that, depending upon season and nutritional stress, FPF can reduce bee survival (−14%), food consumption (−14%), thermoregulation (−4%, i.e. hypothermia), flight success (−19%), and increase flight velocity (+13%). Because pesticide exposure and nutritional stress can co-occur, we suggest that future studies and pesticide risk assessments consider both seasonality and nutritional stress when evaluating pesticide safety for bees. © 2019 Elsevier Ltd",2019,10.1016/j.chemosphere.2019.124408,237,,0,,,,,,,,0.0,0.0,,,,,0,,1,13
162,The effect of dietary neonicotinoid pesticides on non-flight thermogenesis in worker bumble bees (Bombus terrestris),JOUR,"['Potts, R.', 'Clarke, R.M.', 'Oldfield, S.E.', 'Wood, L.K.', 'Hempel de Ibarra, N.', 'Cresswell, J.E.']",Journal of Insect Physiology,"For bumble bees (genus Bombus), the capacity for non-flight thermogenesis is essential for two fundamental processes undertaken by adult workers, namely recovery from torpor after chilling and brood incubation. Farmland bees can be widely exposed to dietary residues of neurotoxic neonicotinoid insecticides that appear in the nectar and pollen of treated bee-attractive crops, which may harm them. An earlier study shows that dietary neonicotinoids cause complex alterations to thermoregulation in honey bees, but their effect on the thermogenic capabilities of individual bumble bees has been untested previously. We therefore conducted laboratory trials involving separate dietary exposures of bumble bees to two neonicotinoids, imidacloprid and thiamethoxam, and we measured their effects on the thoracic temperatures of bees during recovery from chilling. Specifically, we used thermal imaging to measure the rates of rewarming by individual bees after chill-induced torpor and to quantify their equilibrated thoracic temperatures post-recovery. We found that both toxicants caused dose-dependent decreases in the rates of rewarming and in the equilibrated thoracic temperatures. As previously found in honey bees, the dose–response relationship for imidacloprid exhibited a biphasic hormesis with low-dose stimulation and high-dose inhibition, for which we propose a mechanism. Our present study is among the first to detect ecologically relevant effects on bees in neonicotinoid exposures involving dietary concentrations below 5 ppb. If the effects on thoracic temperatures that we observed over a short period were sustained, they could have ecologically significant impacts on farmland bumble bees. © 2017 Elsevier Ltd",2018,10.1016/j.jinsphys.2017.11.006,104,,0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0,,1,14
83,"Lethal and sublethal synergistic effects of a new systemic pesticide, flupyradifurone (Sivanto®), on honeybees",JOUR,"['Tosi, S', 'Nieh, JC']",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"The honeybee (Apis mellifera L.) is an important pollinator and a model for pesticide effects on insect pollinators. The effects of agricultural pesticides on honeybee health have therefore raised concern. Bees can be exposed to multiple pesticides that may interact synergistically, amplifying their side effects. Attention has focused on neonicotinoid pesticides, but flupyradifur-one (FPF) is a novel butenolide insecticide that is also systemic and a nicotinic acetylcholine receptor (nAChR) agonist. We therefore tested the lethal and sublethal toxic effects of FPF over different seasons and worker types, and the interaction of FPF with a common SBI fungicide, propiconazole. We provide the first demonstration of adverse synergistic effects on bee survival and behaviour (poor coordination, hyperactivity, apathy) even at FPF field-realistic doses (worst-case scenarios). Pesticide effects were significantly influenced by worker type and season. Foragers were consistently more susceptible to the pesticides (4-fold greater effect) than in-hive bees, and both worker types were more strongly affected by FPF in summer as compared with spring. Because risk assessment (RA) requires relatively limited tests that only marginally address bee behaviour and do not consider the influence of bee age and season, our results raise concerns about the safety of approved pesticides, including FPF. We suggest that pesticide RA also test for common chemical mixture synergies on behaviour and survival.",2019,10.1098/rspb.2019.0433,286,,0,,,,,,,0.0,0.0,0.0,,,,,0,,1,15
59,Field rates of Sivanto™ (flupyradifurone) and Transform® (sulfoxaflor) increase oxidative stress and induce apoptosis in honey bees (Apis mellifera L.),JOUR,"['Chakrabarti, P.', 'Carlson, E.A.', 'Lucas, H.M.', 'Melathopoulos, A.P.', 'Sagili, R.R.']",PLoS ONE,"Pesticide exposures can have detrimental impacts on bee pollinators, ranging from immediate mortality to sub-lethal impacts. Flupyradifurone is the active ingredient in Sivanto™ and sulfoxaflor is the active ingredient in Transform®. They are both relatively new insecticides developed with an intent to reduce negative effects on bees, when applied to bee-attractive crops. With the growing concern regarding pollinator health and pollinator declines, it is important to have a better understanding of any potential negative impacts, especially sublethal, of these pesticides on bees. This study reports novel findings regarding physiological stress experienced by bees exposed to field application rates of these two insecticides via a Potter Tower sprayer. Two contact exposure experiments were conducted—a shorter 6-hour study and a longer 10-day study. Honey bee mortality, sugar syrup and water consumption, and physiological responses (oxidative stress and apoptotic protein assays) were assessed in bees exposed to Sivanto™ and Transform®, and compared to bees in control group. For the longer, 10-day contact exposure experiment, only the Sivanto™ group was compared to the control group, as high mortality recorded in the sulfoxaflor treatment group during the shorter contact exposure experiment, made the latter group unfeasible to test in the longer 10-days experiment. In both the studies, sugar syrup and water consumptions were significantly different between treatment groups and controls. The highest mortality was observed in Transform® exposed bees, followed by the Sivanto™ exposed bees. Estimates of reactive oxygen/nitrogen species indicated significantly elevated oxidative stress in both pesticide treatment groups, when compared to controls. Caspase-3 protein assays, an indicator of onset of apoptosis, was also significantly higher in the pesticide treatment groups. These differences were largely driven by post exposure duration, indicating sublethal impacts. Further, our findings also emphasize the need to revisit contact exposure impacts of Sivanto™, given the sub-lethal impacts and mortality observed in our long-term (10-day) contact exposure experiment. © 2020 Chakrabarti et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2020,10.1371/journal.pone.0233033,15,,0,,,,,,,0.0,0.0,0.0,,,,,0,,1,16
53,"Exposure to an insecticide formulation alters chemosensory orientation, but not floral scent detection, in buff-tailed bumblebees (Bombus terrestris)",JOUR,"['Kárpáti, Z', 'Szelényi, MO', 'Tóth, Z']",SCIENTIFIC REPORTS,"Although pesticide-free techniques have been developed in agriculture, pesticides are still routinely used against weeds, pests, and pathogens worldwide. These agrochemicals pollute the environment and can negatively impact human health, biodiversity and ecosystem services. Acetamiprid, an approved neonicotinoid pesticide in the EU, may exert sub-lethal effects on pollinators and other organisms. However, our knowledge on the scope and severity of such effects is still incomplete. Our experiments focused on the effects of the insecticide formulation Mospilan (active ingredient: 20% acetamiprid) on the peripheral olfactory detection of a synthetic floral blend and foraging behaviour of buff-tailed bumblebee (Bombus terrestris) workers. We found that the applied treatment did not affect the antennal detection of the floral blend; however, it induced alterations in their foraging behaviour. Pesticide-treated individuals started foraging later, and the probability of finding the floral blend was lower than that of the control bumblebees. However, exposed bumblebees found the scent source faster than the controls. These results suggest that acetamiprid-containing Mospilan may disrupt the activity and orientation of foraging bumblebees. We hypothesize that the observed effects of pesticide exposure on foraging behaviour could be mediated through neurophysiological and endocrine mechanisms. We propose that future investigations should clarify whether such sub-lethal effects can affect pollinators' population dynamics and their ecosystem services.",2024,10.1038/s41598-024-65388-4,14,,0,0.0,,,0.0,,,,,,,0.0,,,0,,1,17
0,A New Approach for Detecting Sublethal Effects of Neonicotinoids on Bumblebees Using Optical Sensor Technology,JOUR,"['Chatzaki, V', 'Montoro, M', 'El-Rashid, R', 'Jensen, AB', 'Lecocq, A']",INSECTS,"Among insects, bees are important pollinators, providing many vital ecosystem services. The recent pollinator decline is threatening both their diversity and abundance. One of the main drivers of this decline is the extensive use of pesticides. Neonicotinoids, one of the most popular groups of pesticides, can be toxic to bees. In fact, numerous studies have found that neonicotinoids can cause sublethal effects, which can impair the biology, physiology, and colony survival of the bees. Yet, there are still knowledge gaps, and more research is needed to better understand the interaction between neonicotinoids and bees, especially in the field. A new optical sensor, which can automatically identify flying insects using machine learning, has been created to continuously monitor insect activity in the field. This study investigated the potential use of this sensor as a tool for monitoring the sublethal effects of pesticides on bumblebees. Bombus terrestris workers were orally exposed to field-realistic doses of imidacloprid. Two types of exposures were tested: acute and chronic. The flight activity of pesticide-exposed and non-exposed bumblebees was recorded, and the events of the insect flights recorded by the sensor were used in two ways: to extract the values of the wingbeat frequency and to train machine learning models. The results showed that the trained model was able to recognize differences between the events created by pesticide-exposed bumblebees and the control bumblebees. This study demonstrates the possibility of the optical sensor for use as a tool to monitor bees that have been exposed to sublethal doses of pesticides. The optical sensor can provide data that could be helpful in managing and, ideally, mitigating the decline of pollinators from one of their most major threats, pesticides.",2023,10.3390/insects14080713,14,,0,0.0,,,0.0,,,,,,,0.0,,0.0,0,,1,18
171,The novel pesticide flupyradifurone (Sivanto) affects honeybee motor abilities,JOUR,"['Hesselbach, H', 'Scheiner, R']",ECOTOXICOLOGY,"Honeybees and other pollinators are threatened by changing landscapes and pesticides resulting from intensified agriculture. In 2018 the European Union prohibited the outdoor use of three neonicotinoid insecticides due to concerns about pollinators. A new pesticide by the name of Sivanto was recently released by Bayer AG. Its active ingredient flupyradifurone binds to the nicotinic acetylcholine receptor (AchR) in the honeybee brain, similar to neonicotinoids. Nevertheless, flupyradifurone is assumed to be harmless for honeybees and can even be applied on flowering crops. So far, only little has been known about sublethal effects of flupyradifurone on honeybees. Intact motor functions are decisive for numerous behaviors including foraging and dancing. We therefore selected a motor assay to investigate in how far sublethal doses of this pesticide affect behavior in young summer and long-lived winter honeybees. Our results demonstrate that flupyradifurone (830 mu mol/l) can evoke motor disabilities and disturb normal motor behavior after a single oral administration (1.2 mu g/bee). These effects are stronger in long-lived winter bees than in young summer bees. After offering an equal amount of pesticide (1.0-1.75 mu g) continuously over 24h with food the observed effects are slighter. For comparisons we repeated our experiments with the neonicotinoid imidacloprid. Intriguingly, the alterations in behavior induced by this pesticide (4ng/bee) were different and longer-lasting compared to flupyradifurone, even though both substances bind to nicotinic acetylcholine receptors.",2019,10.1007/s10646-019-02028-y,28,,0,0.0,,,,0.0,,,,,,0.0,,,0,,1,19
17,Chronic exposure to a field-realistic concentration of Closer® SC (24% sulfoxaflor) insecticide impacted the growth and foraging activity of honey bee colonies,JOUR,"['El-Din, H.S.', 'Helmy, W.S.', 'Al Naggar, Y.', 'Ahmed, F.S.']",Apidologie,"The effects of sulfoxaflor on various pollinators have long been debated. However, there have been few in-hive studies on sulfoximines, and the effects on honey bee colony growth and foraging activity are unknown. Here, we calculated the LC50 of Closer® 24% suspension concentrate (SC) using honey bee foragers then assessed the impacts of chronic exposure of honey bees to a lesser concentration of Closer® in a semi-field in-hive experiment. To do that, we used a worst-case exposure scenario and fed bees for 21 days with a sublethal and field-relevant concentration of sulfoxaflor (0.3 ppb) which represents the calculated LC5 value of Closer®. A total of six colonies was assigned to the pesticide or control treatment. Then, we evaluated the colony development and activity as well as the weight and foraging activity of individual foraging bees. We also revealed that sublethal Closer® exposure impacted honey bee colony growth and activity by reducing bee bread, honey, and brood production, as well as weight and foraging performance of individual bees when colonies were kept under field conditions. Given the findings of this study, as well as comparable findings reported on spray application of Closer® using standard application practices in semi-field conditions, sulfoxaflor’s potential harm to pollinators at realistic levels merits additional investigation particularly in combination with other stressors to better understand how novel insecticides influence pollinators and pollination services. © 2022, INRAE, DIB and Springer-Verlag France SAS, part of Springer Nature.",2022,10.1007/s13592-022-00937-2,53,,0,,,,,,,0.0,0.0,0.0,,,,,0,,1,20
