title,record_id,type_of_reference,authors,secondary_title,abstract,year,doi,volume,commu_AB,commu_RP,indiv_AB,indiv_RP,letha_ER,letha_ES,letha_NN,letha_RP,molec_AH,molec_AJ,molec_EA,popul_CB,popul_RP,subin_RP,subin_RT,asreview_prior,exported_notes_1,included,asreview_ranking
A Vitellogenin Antibody in Honey Bees (Apis mellifera): Characterization and Application as Potential Biomarker for Insecticide Exposure,232,JOUR,"['Christen, V.', 'Vogel, M.S.', 'Hettich, T.', 'Fent, K.']",Environmental Toxicology and Chemistry,"The insect yolk precursor vitellogenin is a lipoglycoprotein synthesized and stored in the fat body and secreted into the hemolymph. In honey bees, vitellogenin displays crucial functions in hormone signaling, behavioral transition of nurse bees to foragers, stress resistance, and longevity in workers. Plant protection products such as neonicotinoids, pyrethroids, and organophosphates alter the transcriptional expression of vitellogenin. To assess plant protection product-induced alterations on the protein level, we developed a rabbit polyclonal vitellogenin antibody. After characterization, we assessed its specificity and vitellogenin levels in different tissues of worker bees. The vitellogenin antibody recognized full-length 180-kDa vitellogenin and the lighter fragment of 150 kDa in fat body, hemolymph, and brain. In hemolymph, a band of approximately 75 kDa was detected. Subsequent mass spectrometric analysis (liquid chromatography–mass spectrometry) confirmed the 180- and 150-kDa bands as vitellogenin. Subsequently, we evaluated vitellogenin expression in brain, fat body, and hemolymph on 24-h exposure of bees to 3 ng/bee to the neonicotinoid clothianidin. Full-length vitellogenin was upregulated 3-fold in the fat body, and the 150-kDa fragment was upregulated in the brain of exposed honey bees, whereas no alteration occurred in the hemolymph. Upregulation of the vitellogenin protein by the neonicotinoid clothianidin is in line with the previously shown induction of its transcript. We conclude that vitellogenin might serve as a potential biomarker for neonicotinoid and other pesticide exposure in bees. Environ Toxicol Chem 2019;00:1–10. © 2019 SETAC. © 2019 SETAC",2019,10.1002/etc.4383,38,,0,,0.0,,,0.0,0.0,0.0,0.0,,,,1.0,,,,,
A clash on the Toll pathway: competitive action between pesticides and zymosan A on components of innate immunity in Apis mellifera,164,JOUR,"['Sukkar, D', 'Kanso, A', 'Laval-Gilly, P', 'Falla-Angel, J']",FRONTIERS IN IMMUNOLOGY,"Background: The immune system of honeybees includes multiple pathways that may be affected by pesticide exposure decreasing the immune competencies of bees and increasing their susceptibility to diseases like the fungal Nosema spp. infection, which is detected in collapsed colonies. Methods: To better understand the effect of the co-presence of multiple pesticides that interact with bees like imidacloprid and amitraz, we evaluated the expression of immune-related genes in honeybee hemocytes. Results: Imidacloprid, amitraz, and the immune activator, zymosan A, mainly affect the gene expression in the Toll pathway. Discussion: Imidacloprid, amitraz, and zymosan A have a synergistic or an antagonistic relationship on gene expression depending on the level of immune signaling. The presence of multiple risk factors like pesticides and pathogens requires the assessment of their complex interaction, which has differential effects on the innate immunity of honeybees as seen in this study.",2023,10.3389/fimmu.2023.1247582,14,,0,0.0,,0.0,,0.0,,1.0,0.0,1.0,,0.0,,,,,,
"A combination of Tropilaelaps mercedesae and imidacloprid negatively affects survival, pollen consumption and midgut bacterial composition of honey bee",672,JOUR,"['Ma, S.', 'Yang, Y.', 'Fu, Z.', 'Diao, Q.', 'Wang, M.', 'Luo, Q.', 'Wang, X.', 'Dai, P.']",Chemosphere,"Tropilaelaps mercedesae is not only a major threat to honey bees in Asia but also a potential risk to global apiculture due to trade. Imidacloprid is a systemic insecticide that negatively affects individual bees. Moreover, the health of honey bees may be threatened by imidacloprid exposure and T. mercedesae infestation. We studied the effects of T. mercedesae and imidacloprid on the survival, food consumption and midgut bacterial diversity of Apis mellifera in the laboratory. Illumina 16S rRNA gene sequencing was used to determine the bacterial composition in the honey bee midgut. T. mercedesae decreased survival in parasitized honey bees compared with nonparasitized honey bees, but there was no significant difference in food consumption. The imidacloprid 50 μg/L diet significantly decreased syrup consumption of A. mellifera compared with the control diet. The combination of T. mercedesae infestation and imidacloprid 50 μg/L exposure reduced survival and increased pollen consumption of A. mellifera. T. mercedesae infestation or a combination of T. mercedesae infestation and exposure to 25 μg/L imidacloprid affected the midgut bacterial composition of honey bees. T. mercedesae infestation and imidacloprid exposure may reduce the survival and affect honey bee health. © 2020 Elsevier Ltd",2021,10.1016/j.chemosphere.2020.129368,268,,0,,1.0,1.0,,,,,,,,,1.0,,,,,
A combination of the frequent fungicides boscalid and dimoxystrobin with the neonicotinoid acetamiprid in field-realistic concentrations does not affect sucrose responsiveness and learning behavior of honeybees,495,JOUR,"['Schuhmann, A.', 'Scheiner, R.']",Ecotoxicology and Environmental Safety,"The increasing loss of pollinators over the last decades has become more and more evident. Intensive use of plant protection products is one key factor contributing to this decline. Especially the mixture of different plant protection products can pose an increased risk for pollinators as synergistic effects may occur. In this study we investigated the effect of the fungicide Cantus® Gold (boscalid/dimoxystrobin), the neonicotinoid insecticide Mospilan® (acetamiprid) and their mixture on honeybees. Since both plant protection products are frequently applied sequentially to the same plants (e.g. oilseed rape), their combination is a realistic scenario for honeybees. We investigated the mortality, the sucrose responsiveness and the differential olfactory learning performance of honeybees under controlled conditions in the laboratory to reduce environmental noise. Intact sucrose responsiveness and learning performance are of pivotal importance for the survival of individual honeybees as well as for the functioning of the entire colony. Treatment with two sublethal and field relevant concentrations of each plant protection product did not lead to any significant effects on these behaviors but affected the mortality rate. However, our study cannot exclude possible negative sublethal effects of these substances in higher concentrations. In addition, the honeybee seems to be quite robust when it comes to effects of plant protection products, while wild bees might be more sensitive. © 2023 The Authors",2023,10.1016/j.ecoenv.2023.114850,256,,0,,1.0,,1.0,,,,,,,,0.0,,,,,
"A common neonicotinoid pesticide, thiamethoxam, alters honey bee activity, motor functions, and movement to light",854,JOUR,"['Tosi, S.', 'Nieh, J.C.']",Scientific Reports,"Honey bees provide key ecosystem services. To pollinate and to sustain the colony, workers must walk, climb, and use phototaxis as they move inside and outside the nest. Phototaxis, orientation to light, is linked to sucrose responsiveness and the transition of work from inside to outside the nest, and is also a key component of division of labour. However, the sublethal effects of pesticides on locomotion and movement to light are relatively poorly understood. Thiamethoxam (TMX) is a common neonicotinoid pesticide that bees can consume in nectar and pollen. We used a vertical arena illuminated from the top to test the effects of acute and chronic sublethal exposures to TMX. Acute consumption (1.34 ng/bee) impaired locomotion, caused hyperactivity (velocity: +109%; time moving: +44%) shortly after exposure (30 min), and impaired motor functions (falls: +83%; time top: -43%; time bottom: +93%; abnormal behaviours: +138%; inability to ascend: +280%) over a longer period (60 min). A 2-day chronic exposure (field-relevant daily intakes of 1.42-3.48 ng/bee/day) impaired bee ability to ascend. TMX increased movement to light after acute and chronic exposure. Thus, TMX could reduce colony health by harming worker locomotion and, potentially, alter division of labour if bees move outside or remain outdoors. © 2017 The Author(s).",2017,10.1038/s41598-017-15308-6,7,,0,1.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,
"A common neonicotinoid pesticide, thiamethoxam, impairs honey bee flight ability",838,JOUR,"['Tosi, S.', 'Burgio, G.', 'Nieh, J.C.']",Scientific Reports,"Pesticides can pose environmental risks, and a common neonicotinoid pesticide, thiamethoxam, decreases homing success in honey bees. Neonicotinoids can alter bee navigation, but we present the first evidence that neonicotinoid exposure alone can impair the physical ability of bees to fly. We tested the effects of acute or chronic exposure to thiamethoxam on the flight ability of foragers in flight mills. Within 1 h of consuming a single sublethal dose (1.34 ng/bee), foragers showed excitation and significantly increased flight duration (+78%) and distance (+72%). Chronic exposure significantly decreased flight duration (-54%), distance (-56%), and average velocity (-7%) after either one or two days of continuous exposure that resulted in bees ingesting field-relevant thiamethoxam doses of 1.96-2.90 ng/bee/day. These results provide the first demonstration that acute or chronic exposure to a neonicotinoid alone can significantly alter bee flight. Such exposure may impair foraging and homing, which are vital to normal colony function and ecosystem services. © 2017 The Author(s).",2017,10.1038/s41598-017-01361-8,7,,0,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,
A common pesticide decreases foraging success and survival in honey bees,986,JOUR,"['Henry, M.', 'Béguin, M.', 'Requier, F.', 'Rollin, O.', 'Odoux, J.-F.', 'Aupinel, P.', 'Aptel, J.', 'Tchamitchian, S.', 'Decourtye, A.']",Science,Nonlethal exposure of honey bees to thiamethoxam (neonicotinoid systemic pesticide) causes high mortality due to homing failure at levels that could put a colony at risk of collapse. Simulated exposure events on free-ranging foragers labeled with a radio-frequency identification tag suggest that homing is impaired by thiamethoxam intoxication. These experiments offer new insights into the consequences of common neonicotinoid pesticides used worldwide.,2012,10.1126/science.1215039,336,,0,0.0,1.0,,,0.0,,,,,,0.0,,,,,,
A cytochrome P450 insecticide detoxification mechanism is not conserved across the Megachilidae family of bees,167,JOUR,"['Hayward, A.', 'Hunt, B.J.', 'Haas, J.', 'Bushnell-Crowther, E.', 'Troczka, B.J.', 'Pym, A.', 'Beadle, K.', 'Field, J.', 'Nelson, D.R.', 'Nauen, R.', 'Bass, C.']",Evolutionary Applications,"Recent work has demonstrated that many bee species have specific cytochrome P450 enzymes (P450s) that can efficiently detoxify certain insecticides. The presence of these P450s, belonging or closely related to the CYP9Q subfamily (CYP9Q-related), is generally well conserved across the diversity of bees. However, the alfalfa leafcutter bee, Megachile rotundata, lacks CYP9Q-related P450s and is 170–2500 times more sensitive to certain insecticides than bee pollinators with these P450s. The extent to which these findings apply to other Megachilidae bee species remains uncertain. To address this knowledge gap, we sequenced the transcriptomes of four Megachile species and leveraged the data obtained, in combination with publicly available genomic data, to investigate the evolution and function of P450s in the Megachilidae. Our analyses reveal that several Megachilidae species, belonging to the Lithurgini, Megachilini and Anthidini tribes, including all species of the Megachile genus investigated, lack CYP9Q-related genes. In place of these genes Megachile species have evolved phylogenetically distinct CYP9 genes, the CYP9DM lineage. Functional expression of these P450s from M. rotundata reveal they lack the capacity to metabolize the neonicotinoid insecticides thiacloprid and imidacloprid. In contrast, species from the Osmiini and Dioxyini tribes of Megachilidae have CYP9Q-related P450s belonging to the CYP9BU subfamily that are able to detoxify thiacloprid. These findings provide new insight into the evolution of P450s that act as key determinants of insecticide sensitivity in bees and have important applied implications for pesticide risk assessment. © 2023 The Authors. Evolutionary Applications published by John Wiley & Sons Ltd.",2024,10.1111/eva.13625,17,,0,,0.0,,,0.0,0.0,0.0,1.0,,,,0.0,,,,,
A deeper understanding of system interactions can explain contradictory field results on pesticide impact on honey bees,239,JOUR,"['Breda, D', 'Frizzera, D', 'Giordano, G', 'Seffin, E', 'Zanni, V', 'Annoscia, D', 'Topping, CJ', 'Blanchini, F', 'Nazzi, F']",NATURE COMMUNICATIONS,"Pesticide impact on honey bees under field conditions remains elusive. Here, the authors combine a systems biology approach and laboratory experiments to show that the immune suppressive effect of the pathogen deformed wing virus can be responsible for the disparity amongst honey bee experiments. While there is widespread concern regarding the impact of pesticides on honey bees, well-replicated field experiments, to date, have failed to provide clear insights on pesticide effects. Here, we adopt a systems biology approach to gain insights into the web of interactions amongst the factors influencing honey bee health. We put the focus on the properties of the system that depend upon its architecture and not on the strength, often unknown, of each single interaction. Then we test in vivo, on caged honey bees, the predictions derived from this modelling analysis. We show that the impact of toxic compounds on honey bee health can be shaped by the concurrent stressors affecting bees. We demonstrate that the immune-suppressive capacity of the widespread pathogen of bees, deformed wing virus, can introduce a critical positive feed-back loop in the system causing bistability, i.e., two stable equilibria. Therefore, honey bees under similar initial conditions can experience different consequences when exposed to the same stressor, including prolonged survival or premature death. The latter can generate an increased vulnerability of the hive to dwindling and collapse. Our conclusions reconcile contrasting field-testing outcomes and have important implications for the application of field studies to complex systems.",2022,10.1038/s41467-022-33405-7,13,,0,0.0,0.0,1.0,,,,0.0,,0.0,,0.0,,,,,,
A demographic approach to evaluating the impact of stressors on bumble bee colonies,879,JOUR,"['Cresswell, J.E.']",Ecological Entomology,"1. Natural and anthropogenic stressors threaten the sustainability of bumble bees and evaluating their impact is essential to the stewardship of these valuable pollinators. Demographic modelling provides a framework for testing hypotheses about the impacts of stressors, but it has not previously been applied to bumble bees. 2. I therefore formulated a demographic model for a bumble bee colony and then quantified the impact of two stressors, pesticide exposure and spider predation, by perturbing it with their known effects. 3. By simulating a laboratory exposure of Bombus terrestris L. to dietary imidacloprid (a neonicotinoid insecticide), I tested whether the observed colony decline was explained solely by a toxic effect on the fecundity of the foundress queen. By simulating field observations of B. terricola Kirby, I tested whether predation by crab spiders reduced colony fitness sufficiently to provide an adaptive explanation for avoidance behaviours seen when bumble bees encounter spiders. 4. In B. terrestris, a dose-appropriate decrease in fecundity predicted the observed colony decline, which implicates this as a principal mechanism of toxicity. In B. terricola, doubling the rate of spider predation reduced a colony's production of new queens by 11%, which implies that spider avoidance is highly adaptive. 5. These analyses illustrate the utility of demographic modelling for quantifying the impacts of stressors on bumble bees. In the future, models of this type could be used to investigate a wider range of stressors and to produce thereby knowledge and tools useful for safeguarding bumble bees and the pollination services that they provide. © 2017 The Royal Entomological Society",2017,10.1111/een.12376,42,,0,0.0,,0.0,,,,,,,,1.0,,,,,,
