title,record_id,type_of_reference,authors,secondary_title,abstract,year,doi,volume,commu_AB,commu_RP,indiv_AB,indiv_RP,letha_ER,letha_ES,letha_NN,letha_RP,molec_AH,molec_AJ,molec_EA,popul_CB,popul_RP,subin_RP,subin_RT
Extrapolating Acute Contact Bee Sensitivity to Insecticides Based on Body Weight Using a Phylogenetically Informed Interspecies Scaling Framework,632,JOUR,"['Pamminger, T.']",Environmental Toxicology and Chemistry,"Plant protection products, including insecticides, are important for global food production but can have adverse effects on nontarget organisms including bees. Historically, research investigating such effects has focused mainly on the honeybee (Apis mellifera), whereas less information is available for non-Apis bees. Consequently, a comprehensive hazard (sensitivity) assessment for the majority of bees is lacking, which in turn hinders accurate risk characterization and consequently bee protection. Interspecies sensitivity extrapolation based on body weight might be a way to improve the situation, but in the past such approaches often ignored the phylogenetic background of the species used, which in turn potentially reduces the robustness of such results. Published acute contact sensitivity data (median lethal dose per bee) of bees to insecticides, their body weight, and their phylogenetic background were used to build interspecies scaling models to predict bee sensitivity based on their weight. The results indicate that 1) bee body weight is a predictor of acute contact bee sensitivity to a range of insecticides, and 2) phylogeny (nonindependence of data points) needs to be considered in cross-species analysis, although it does not always confound the observed effects. Environ Toxicol Chem 2021;40:2044–2052. © 2021 SETAC. © 2021 SETAC",2021,10.1002/etc.5045,40,,0,,0.0,0.0,,,,,,,,,0.0,
Fatal powdering of bees in flight with particulates of neonicotinoids seed coating and humidity implication,220,JOUR,"['Girolami, V.', 'Marzaro, M.', 'Vivan, L.', 'Mazzon, L.', 'Greatti, M.', 'Giorio, C.', 'Marton, D.', 'Tapparo, A.']",Journal of Applied Entomology,"Losses of honeybees have been reported in Italy concurrent with the sowing of corn coated with neonicotinoids using a pneumatic drilling machine. Being unconvinced that solid particles containing systemic insecticide, falling on the vegetation surrounding the sown area, could poison bees foraging on contaminated nectar and pollen, the effect of direct aerial powdering was tested on foragers in free flight near the drilling machine. Bees were conditioned to visit a dispenser of sugar solution whilst a drilling machine was sowing corn along the flight path. Samples of bees were captured on the dispenser, caged and held in the laboratory. Chemical analysis showed some hundred nanograms of insecticide per bee. Nevertheless, caged bees, previously contaminated in flight, died only if kept in conditions of high humidity. After the sowing, an increase in bee mortality in front of the hives was also observed. Spring bee losses, which corresponded with the sowing of corn-coated seed, seemed to be related to the casual encountering of drilling machine during foraging flight across the ploughed fields. © 2011 Blackwell Verlag, GmbH.",2012,10.1111/j.1439-0418.2011.01648.x,136,,0,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,
Field Efficacy of Synthetic and Botanical-Derived Insecticides against Melanaphis sacchari,287,JOUR,"Granados-Echegoyen, C.; Loera-Alvarado, G.; Miranda-Salcedo, M.A.; Hernández-Cruz, J.; Luna-Cruz, A.; Loera-Alvarado, E.",Southwestern Entomologist,"The purpose of the study was to investigate the field efficacy of commercial insecticides against Melanaphis sacchari (Zehntner) and determine the diversity of non-Target species associated before and after treatment. Treatments were applied at 35 and 50 days after germination, and associated insects were sampled with yellow traps 48 hours after application of each product. Insect abundance differed significantly from the control that had 1,006 and 3,750 aphids on the first and second days of evaluation, with fewer aphids at the first sampling (35 days). The most effective products were flupyradifurone (Sivanto®), imidacloprid (Uniprid®), acephate (Unifate®), and Chenopodium ambrosioides botanical extract (Requiem®), with efficacies of 99.95% (0.5 aphids/plant), 99.05 (9.5 aphids/plant), 99.41% (6.0 aphids/plant), and 76.78% (233.5 aphids/plant) (Fn,3 = 19.78; df = 5,12; p < 0.001, r2= 0.8918), respectively. At the second sampling (50 days), efficacy of flupyradifurone was 100%, and Ch. ambrosioides plant-derived product and spinetoram (Palgus®) were opposite (Fn,3 = 43.14; df = 5,12; p < 0.001, r2= 0.9473). We collected 980 insects associated with sorghum, in five orders, 26 families, and 53 species of Coleoptera, Diptera, Hemiptera, Hymenoptera, and Neuroptera. Species richness increased as abundance decreased. Species richness and abundance were greatest at the first assessment. The Shannon-Wiener diversity index was between 1.2 and 1.6 for the first assessment and 1.8 and 2.4 for the second evaluation. Flupyradifurone, imidacloprid and acephate should be included in integrated management of M. sacchari, considering adequate use of the product. © 2021 Southwestern Entomological Society. All rights reserved.",2021,10.3958/059.046.0103,46,,0,,0.0,,,,0.0,,0.0,,,,0.0,
Field Trial for Evaluating the Effects on Honeybees of Corn Sown Using CruiserA® and Celest xlA® Treated Seeds,252,JOUR,"['Tremolada, P', 'Mazzoleni, M', 'Saliu, F', 'Colombo, M', 'Vighi, M']",BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,"A first field study was conducted to investigate the possible adverse effects that seeds dressed with neonicotinoid insecticides pose to honeybees during sowing. It was observed that in the exposure hives bee mortality increased on the day of sowing and that the number of foraging bees decreased the days after the sowing. The corn sowing posed a significant threat to honeybees, with thiamethoxam being the most probable toxic agent. A theoretical contact exposure was calculated for a bee when flying over the sown fields, revealing a dose of 9.2 ng bee(-1) close to the contact LD50 of thiamethoxam.",2010,10.1007/s00128-010-0066-1,85,,0,,,,,,,,,,,,,
Field agrochemical exposure impacts locomotor activity in wild bumblebees,217,JOUR,"['Strang, CG', 'Rondeau, S', 'Baert, N', 'Mcart, SH', 'Raine, NE', 'Muth, F']",ECOLOGY,"Agricultural intensification has been identified as one of the key causes of global insect biodiversity losses. These losses have been further linked to the widespread use of agrochemicals associated with modern agricultural practices. Many of these chemicals are known to have negative sublethal effects on commercial pollinators, such as managed honeybees and bumblebees, but less is known about the impacts on wild bees. Laboratory-based studies with commercial pollinators have consistently shown that pesticide exposure can impact bee behavior, with cascading effects on foraging performance, reproductive success, and pollination services. However, these studies typically assess only one chemical, neglecting the complexity of real-world exposure to multiple agrochemicals and other stressors. In the summer of 2020, we collected wild-foraging workers of the common eastern bumblebee, Bombus impatiens, from five squash (Cucurbita) agricultural sites (organic and conventional farms), selected to represent a range of agrochemical, including neonicotinoid insecticide, use. For each bee, we measured two behaviors relevant to foraging success and previously shown to be impacted by pesticide exposure: sucrose responsiveness and locomotor activity. Following behavioral testing, we used liquid chromatography-tandem mass spectrometry (LC-MS/MS) chemical analysis to detect and quantify the presence of 92 agrochemicals in each bumblebee. Bees collected from our sites did not vary in pesticide exposure as expected. While we found a limited occurrence of neonicotinoids, two fungicides (azoxystrobin and difenoconazole) were detected at all sites, and the pesticide synergist piperonyl butoxide (PBO) was present in all 123 bees. We found that bumblebees that contained higher levels of PBO were less active, and this effect was stronger for larger bumblebee workers. While PBO is unlikely to be the direct cause of the reduction in bee activity, it could be an indicator of exposure to pyrethroids and/or other insecticides that we were unable to directly quantify, but which PBO is frequently tank-mixed with during pesticide applications on crops. We did not find a relationship between agrochemical exposure and bumblebee sucrose responsiveness. To our knowledge, this is the first evidence of a sublethal behavioral impact of agrochemical exposure on wild-foraging bees.",2024,10.1002/ecy.4310,105,0.0,0,0.0,,,0.0,,,,,,,0.0,0.0,
Field rates of Sivanto™ (flupyradifurone) and Transform® (sulfoxaflor) increase oxidative stress and induce apoptosis in honey bees (Apis mellifera L.),727,JOUR,"['Chakrabarti, P.', 'Carlson, E.A.', 'Lucas, H.M.', 'Melathopoulos, A.P.', 'Sagili, R.R.']",PLoS ONE,"Pesticide exposures can have detrimental impacts on bee pollinators, ranging from immediate mortality to sub-lethal impacts. Flupyradifurone is the active ingredient in Sivanto™ and sulfoxaflor is the active ingredient in Transform®. They are both relatively new insecticides developed with an intent to reduce negative effects on bees, when applied to bee-attractive crops. With the growing concern regarding pollinator health and pollinator declines, it is important to have a better understanding of any potential negative impacts, especially sublethal, of these pesticides on bees. This study reports novel findings regarding physiological stress experienced by bees exposed to field application rates of these two insecticides via a Potter Tower sprayer. Two contact exposure experiments were conducted—a shorter 6-hour study and a longer 10-day study. Honey bee mortality, sugar syrup and water consumption, and physiological responses (oxidative stress and apoptotic protein assays) were assessed in bees exposed to Sivanto™ and Transform®, and compared to bees in control group. For the longer, 10-day contact exposure experiment, only the Sivanto™ group was compared to the control group, as high mortality recorded in the sulfoxaflor treatment group during the shorter contact exposure experiment, made the latter group unfeasible to test in the longer 10-days experiment. In both the studies, sugar syrup and water consumptions were significantly different between treatment groups and controls. The highest mortality was observed in Transform® exposed bees, followed by the Sivanto™ exposed bees. Estimates of reactive oxygen/nitrogen species indicated significantly elevated oxidative stress in both pesticide treatment groups, when compared to controls. Caspase-3 protein assays, an indicator of onset of apoptosis, was also significantly higher in the pesticide treatment groups. These differences were largely driven by post exposure duration, indicating sublethal impacts. Further, our findings also emphasize the need to revisit contact exposure impacts of Sivanto™, given the sub-lethal impacts and mortality observed in our long-term (10-day) contact exposure experiment. © 2020 Chakrabarti et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2020,10.1371/journal.pone.0233033,15,,0,,,,,,,0.0,0.0,0.0,,,,
Floral resource diversification promotes solitary bee reproduction and may offset insecticide effects – evidence from a semi-field experiment,659,JOUR,"['Klaus, F.', 'Tscharntke, T.', 'Bischoff, G.', 'Grass, I.']",Ecology Letters,"Pollinator declines in agricultural landscapes are driven by multiple stressors, but potential interactions of these remain poorly studied. Using a highly replicated semi-field study with 56 mesocosms of varying wild plant diversity (2–16 species) and oilseed rape treated with a neonicotinoid, we tested the interacting effects of resource diversity and insecticides on reproduction of a solitary wild bee. Compared to mesocosms with oilseed rape monocultures, availability of resources from wild plants complementing oilseed rape doubled brood cell production. In addition, bee reproduction increased due to plant diversity and identity effects. Exposure to neonicotinoid-treated oilseed rape reduced bee larval to adult development by 69%, but only in mesocosms with oilseed rape monocultures. Availability of complementary flower resources can thus offset negative effects of neonicotinoid-treated oilseed rape on wild bee reproduction. Policy should encourage the implementation of diverse floral resources mitigating negative effects of crop monocultures and insecticides, thereby sustaining solitary bee populations in agricultural landscapes. © 2021 The Authors. Ecology Letters published by John Wiley & Sons Ltd.",2021,10.1111/ele.13683,24,,0,,,,,,,,,,,,,
"Following Regulation, Imidacloprid Persists and Flupyradifurone Increases in Nontarget Wildlife",414,JOUR,"['English, S.G.', 'Bishop, C.A.', 'Bieber, M.', 'Elliott, J.E.']",Environmental Toxicology and Chemistry,"After regulation of pesticides, determination of their persistence in the environment is an important indicator of effectiveness of these measures. We quantified concentrations of two types of systemic insecticides, neonicotinoids (imidacloprid, acetamiprid, clothianidin, thiacloprid, and thiamethoxam) and butenolides (flupyradifurone), in off-crop nontarget media of hummingbird cloacal fluid, honey bee (Apis mellifera) nectar and honey, and wildflowers before and after regulation of imidacloprid on highbush blueberries in Canada in April 2021. We found that mean total pesticide load increased in hummingbird cloacal fluid, nectar, and flower samples following imidacloprid regulation. On average, we did not find evidence of a decrease in imidacloprid concentrations after regulation. However, there were some decreases, some increases, and other cases with no changes in imidacloprid levels depending on the specific media, time point of sampling, and site type. At the same time, we found an overall increase in flupyradifurone, acetamiprid, thiamethoxam, and thiacloprid but no change in clothianidin concentrations. In particular, flupyradifurone concentrations observed in biota sampled near agricultural areas increased twofold in honey bee nectar, sevenfold in hummingbird cloacal fluid, and eightfold in flowers after the 2021 imidacloprid regulation. The highest residue detected was flupyradifurone at 665 ng/mL (parts per billion [ppb]) in honey bee nectar. Mean total pesticide loads were highest in honey samples (84 ± 10 ppb), followed by nectar (56 ± 7 ppb), then hummingbird cloacal fluid (1.8 ± 0.5 ppb), and least, flowers (0.51 ± 0.06 ppb). Our results highlight that limited regulation of imidacloprid does not immediately reduce residue concentrations, while other systemic insecticides, possibly replacement compounds, concurrently increase in wildlife. Environ Toxicol Chem 2024;43:1497–1508. © 2024 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC. © 2024 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC.",2024,10.1002/etc.5892,43,,0,0.0,,0.0,,,,,,,,0.0,0.0,
Gut microbiota composition is associated with environmental landscape in honey bees,857,JOUR,"['Jones, J.C.', 'Fruciano, C.', 'Hildebrand, F.', 'Al Toufalilia, H.', 'Balfour, N.J.', 'Bork, P.', 'Engel, P.', 'Ratnieks, F.L.W.', 'Hughes, W.O.H.']",Ecology and Evolution,"There is growing recognition that the gut microbial community regulates a wide variety of important functions in its animal hosts, including host health. However, the complex interactions between gut microbes and environment are still unclear. Honey bees are ecologically and economically important pollinators that host a core gut microbial community that is thought to be constant across populations. Here, we examined whether the composition of the gut microbial community of honey bees is affected by the environmental landscape the bees are exposed to. We placed honey bee colonies reared under identical conditions in two main landscape types for 6 weeks: either oilseed rape farmland or agricultural farmland distant to fields of flowering oilseed rape. The gut bacterial communities of adult bees from the colonies were then characterized and compared based on amplicon sequencing of the 16S rRNA gene. While previous studies have delineated a characteristic core set of bacteria inhabiting the honey bee gut, our results suggest that the broad environment that bees are exposed to has some influence on the relative abundance of some members of that microbial community. This includes known dominant taxa thought to have functions in nutrition and health. Our results provide evidence for an influence of landscape exposure on honey bee microbial community and highlight the potential effect of exposure to different environmental parameters, such as forage type and neonicotinoid pesticides, on key honey bee gut bacteria. This work emphasizes the complexity of the relationship between the host, its gut bacteria, and the environment and identifies target microbial taxa for functional analyses. © 2017 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",2018,10.1002/ece3.3597,8,,0,,0.0,,,0.0,,0.0,,,,,,
High pesticide exposure and risk to bees in pollinator plantings adjacent to conventionally managed blueberry fields,306,JOUR,"['Graham, KK', 'McArt, S', 'Isaacs, R']",SCIENCE OF THE TOTAL ENVIRONMENT,"Wildflower plantings adjacent to agricultural fields provide diverse floral resources and nesting sites for wild bees. However, their proximity to pest control activities in the crop may result in pesticide exposure if pesticides drift into pollinator plantings. To quantify pesticide residues in pollinator plantings, we sampled flowers and soil from pollinator plantings and compared them to samples from unenhanced field margins and crop row middles. At conventionally managed farms, flowers from pollinator plantings had similar exposure profiles to those from unenhanced field margins or crop row middles, with multiple pesticides and high and similar risk quotient (RQ) values (with pollinator planting RQ: 3.9; without pollinator planting RQ: 4.0). Whereas samples from unsprayed sites had significantly lower risk (RQ: 0.005). Soil samples had overall low risk to bees. Additionally, we placed bumble bee colonies ( Bombus impatiens ) in field margins of crop fields with and without pollinator plantings and measured residues in bee -collected pollen. Pesticide exposure was similar in pollen from sites with or without pollinator plantings, and risk was generally high (with pollinator planting RQ: 0.5; without pollinator planting RQ: 1.1) and not significant between the two field types. Risk was lower at sites where there was no pesticide activity (RQ: 0.3), but again there was no significant difference between management types. The insecticide phosmet, which is used on blueberry farms for control of Drosophila suzukii , accounted for the majority of elevated risk. Additionally, analysis of pollen collected by bumble bees found no significant difference in floral species richness between sites with or without pollinator plantings. Our results suggest that pollinator plantings do not reduce pesticide risk and do not increase pollen diversity collected by B. impatiens , further highlighting the need to reduce exposure through enhanced IPM adoption, drift mitigation, and removal of attractive flowering weeds prior to insecticide applications.",2024,10.1016/j.scitotenv.2024.171248,922,0.0,0,,0.0,,,,0.0,,0.0,,,,0.0,
High-throughput monitoring of wild bee diversity and abundance via mitogenomics,370,JOUR,"['Tang, M', 'Hardman, CJ', 'Ji, YQ', 'Meng, GL', 'Liu, SL', 'Tan, MH', 'Yang, SZ', 'Moss, ED', 'Wang, JX', 'Yang, CX', 'Bruce, C', 'Nevard, T', 'Potts, SG', 'Zhou, X', 'Yu, DW']",METHODS IN ECOLOGY AND EVOLUTION,"1. Bee populations and other pollinators face multiple, synergistically acting threats, which have led to population declines, loss of local species richness and pollination services, and extinctions. However, our understanding of the degree, distribution and causes of declines is patchy, in part due to inadequate monitoring systems, with the challenge of taxonomic identification posing a major logistical barrier. Pollinator conservation would benefit from a high-throughput identification pipeline. 2. We show that the metagenomic mining and resequencing of mitochondrial genomes (mitogenomics) can be applied successfully to bulk samples of wild bees. We assembled the mitogenomes of 48 UK bee species and then shotgun-sequenced total DNA extracted from 204 whole bees that had been collected in 10 pan-trap samples from farms in England and been identified morphologically to 33 species. Each sample data set was mapped against the 48 reference mitogenomes. 3. The morphological and mitogenomic data sets were highly congruent. Out of 63 total species detections in the morphological data set, the mitogenomic data set made 59 correct detections (93.7% detection rate) and detected six more species (putative false positives). Direct inspection and an analysis with species-specific primers suggested that these putative false positives were most likely due to incorrect morphological IDs. Read frequency significantly predicted species biomass frequency (R-2 = 24.9%). Species lists, biomass frequencies, extrapolated species richness and community structure were recovered with less error than in a metabarcoding pipeline. 4. Mitogenomics automates the onerous task of taxonomic identification, even for cryptic species, allowing the tracking of changes in species richness and distributions. A mitogenomic pipeline should thus be able to contain costs, maintain consistently high-quality data over long time series, incorporate retrospective taxonomic revisions and provide an auditable evidence trail. Mitogenomic data sets also provide estimates of species counts within samples and thus have potential for tracking population trajectories.",2015,10.1111/2041-210X.12416,6,0.0,0,0.0,,,,,0.0,,0.0,,,0.0,0.0,
Honey Bee Survival and Pathogen Prevalence: From the Perspective of Landscape and Exposure to Pesticides,191,JOUR,"['Alburaki, M', 'Chen, D', 'Skinner, JA', 'Meikle, WG', 'Tarpy, DR', 'Adamczyk, J', 'Stewart, SD']",INSECTS,"In order to study the in situ effects of the agricultural landscape and exposure to pesticides on honey bee health, sixteen honey bee colonies were placed in four different agricultural landscapes. Those landscapes were three agricultural areas with varying levels of agricultural intensity (AG areas) and one non-agricultural area (NAG area). Colonies were monitored for different pathogen prevalence and pesticide residues over a period of one year. RT-qPCR was used to study the prevalence of seven different honey bee viruses as well as Nosema sp. in colonies located in different agricultural systems with various intensities of soybean, corn, sorghum, and cotton production. Populations of the parasitic mite Varroa destructor were also extensively monitored. Comprehensive MS-LC pesticide residue analyses were performed on samples of wax, honey, foragers, winter bees, dead bees, and crop flowers for each apiary and location. A significantly higher level of varroa loads were recorded in colonies of the AG areas, but this at least partly correlated with increased colony size and did not necessarily result from exposure to pesticides. Infections of two viruses (deformed wing virus genotype a (DWVa) and acute bee paralysis virus (ABPV)) and Nosema sp. varied among the four studied locations. The urban location significantly elevated colony pathogen loads, while AG locations significantly benefited and increased the colony weight gain. Cotton and sorghum flowers contained high concentrations of insecticide including neonicotinoids, while soybean and corn had less pesticide residues. Several events of pesticide toxicity were recorded in the AG areas, and high concentrations of neonicotinoid insecticides were detected in dead bees.",2018,10.3390/insects9020065,9,,0,0.0,,0.0,,,,0.0,,,,0.0,,
Honey bees and bumble bees may be exposed to pesticides differently when foraging on agricultural areas,479,JOUR,"['Zioga, E.', 'White, B.', 'Stout, J.C.']",Science of the Total Environment,"In an agricultural environment, where crops are treated with pesticides, bees are likely to be exposed to a range of chemical compounds in a variety of ways. The extent to which different bee species are affected by these chemicals, largely depends on the concentrations and type of exposure. We quantified the presence of selected pesticide compounds in the pollen of two different entomophilous crops; oilseed rape (Brassica napus) and broad bean (Vicia faba). Sampling was performed in 12 sites in Ireland and our results were compared with the pollen loads of honey bees and bumble bees actively foraging on those crops in those same sites. Detections were compound specific, and the timing of pesticide application in relation to sampling likely influenced the final residue contamination levels. Most detections originated from compounds that were not recently applied on the fields, and samples from B. napus fields were more contaminated compared to those from V. faba fields. Crop pollen was contaminated only with fungicides, honey bee pollen loads contained mainly fungicides, while more insecticides were detected in bumble bee pollen loads. The highest number of compounds and most detections were observed in bumble bee pollen loads, where notably, all five neonicotinoids assessed (acetamiprid, clothianidin, imidacloprid, thiacloprid, and thiamethoxam) were detected despite the no recent application of these compounds on the fields where samples were collected. The concentrations of neonicotinoid insecticides were positively correlated with the number of wild plant species present in the bumble bee-collected pollen samples, but this relationship could not be verified for honey bees. The compounds azoxystrobin, boscalid and thiamethoxam formed the most common pesticide combination in pollen. Our results raise concerns about potential long-term bee exposure to multiple residues and question whether honey bees are suitable surrogates for pesticide risk assessments for all bee species. © 2023 The Authors",2023,10.1016/j.scitotenv.2023.166214,896,,0,0.0,,,,0.0,,,,0.0,,0.0,,
Imidacloprid and acetamiprid synergistically downregulate spaetzle and myD88 of the Toll pathway in haemocytes of the European honeybee (Apis mellifera),465,JOUR,"['Malladi, S.', 'Sukkar, D.', 'Bonnefoy, A.', 'Falla-Angel, J.', 'Laval-Gilly, P.']",Environmental Toxicology and Pharmacology,"Pollinator health has been of critical concern over the last few decades. The prevalence of the honeybee Colony Collapse Disorder (CCD), changing climate, and the rise of vector-borne honeybee diseases by Varroa destructor, have played a major role in the rapid decline of global honeybee populations. Honeybees are environmentally and economically significant actors in biodiversity. The impact of agricultural practices, such as pesticide use, has exacerbated the negative effects on honeybees. We demonstrate the synergistic effect of cocktails of the neonicotinoids imidacloprid and acetamiprid on honeybee haemocytes. Two genes responsible for critical immune responses, spaetzle and myD88, are consistently dysregulated following exposure to either neonicotinoid alone or as a mixture with or without an immune challenge. The 2018 ban of neonicotinoids in Europe, followed by the 2020 reauthorisation of imidacloprid in France and the current consideration to reinstate acetamiprid underscores the need to evaluate their cumulative impact on honeybee health. © 2023 Elsevier B.V.",2023,10.1016/j.etap.2023.104323,104,,0,,0.0,0.0,,0.0,,0.0,,0.0,,,,
Imidacloprid increases the prevalence of the intestinal parasite Lotmaria passim in honey bee workers,422,JOUR,"['Erban, T.', 'Parizkova, K.', 'Sopko, B.', 'Talacko, P.', 'Markovic, M.', 'Jarosova, J.', 'Votypka, J.']",Science of the Total Environment,"A challenge in bee protection is to assess the risks of pesticide-pathogen interactions. Lotmaria passim, a ubiquitous unicellular parasite in honey bees, is considered harmful under specific conditions. Imidacloprid causes unpredictable side effects. Research indicates that both L. passim and imidacloprid may affect the physiology, behavior, immunity, microbiome and lifespan of honey bees. We designed cage experiments to test whether the infection of L. passim is affected by a sublethal dose of imidacloprid. Workers collected at the time of emergence were exposed to L. passim and 2.5 μg/L imidacloprid in the coexposure treatment group. First, samples of bees were taken from cages since they were 5 days old and 3 days postinfection, i.e., after finishing an artificial 24 h L. passim infection. Additional bees were collected every two additional days. In addition, bees frozen at the time of emergence and collected from the unexposed group were analyzed. Abdomens were analyzed using qPCR to determine parasite load, while corresponding selected heads were subjected to a label-free proteomic analysis. Our results show that bees are free of L. passim at the time of emergence. Furthermore, imidacloprid considerably increased the prevalence as well as parasite loads in individual bees. This means that imidacloprid facilitates infection, enabling faster parasite spread in a colony and potentially to surrounding colonies. The proteomic analysis of bee heads showed that imidacloprid neutralized the increased transferrin 1 expression by L. passim. Importantly, this promising marker has been previously observed to be upregulated by infections, including gut parasites. This study contributes to understanding the side effects of imidacloprid and demonstrates that a single xenobiotic/pesticide compound can interact with the gut parasite. Our methodology can be used to assess the effects of different compounds on L. passim. © 2023 The Author(s)",2023,10.1016/j.scitotenv.2023.166973,905,,0,0.0,,0.0,,,,,,,,0.0,,
Imidacloprid reduces the mating success of males in bumblebees,283,JOUR,"['Chen, X', 'Wang, YH', 'Zhou, Y', 'Wang, FR', 'Wang, J', 'Yao, XD', 'Imran, M', 'Luo, SD']",SCIENCE OF THE TOTAL ENVIRONMENT,"Bumblebees play a vital role in both natural and agricultural environments, but there has been a noticeable decline in their populations. Pesticides, particularly neonicotinoids, are widely regarded as a substantial contributing factor to the decline in bumblebee populations, as evidenced by the detrimental impacts documented across many stages of their life cycle. Mating is vital for the population maintenance of bumblebees. Nevertheless, there is a scarcity of research conducted on the effects of pesticides on the mating process. In this study, we individually examined the impact of imidacloprid on the mating behavior of bumblebee males and queens. A competitive mating experiment was conducted to evaluate the effect on the competitive prowess of male individuals and the mate selection behavior of female individuals. The study revealed that the mating rate of bumblebees exposed to a concentration of 10 ppb of imidacloprid was 3 %. This finding demonstrated a statistically significant impact when compared to the control group, which exhibited a mating rate of 58 % in the normal mating experiment. Furthermore, in the competitive mating experiment, we found that the competitive mating success rate of treated males (1 %) was significantly lower than that of untreated males (35 %). Hence, it provides evidence that neonicotinoid imidacloprid negatively affects bumblebee mating success and cautions us to protect bumblebees from pesticide exposure to prevent a severe impact on their populations.",2024,10.1016/j.scitotenv.2024.172525,928,,0,0.0,,0.0,,,,,,,,0.0,0.0,
Imidacloprid-induced facilitation of the proboscis extension reflex habituation in the honeybee,1009,JOUR,"['Lambin, M.', 'Armengaud, C.', 'Raymond, S.', 'Gauthier, M.']",Archives of Insect Biochemistry and Physiology,"Imidacloprid is a new insecticide from the family of the neonicotinoids, which interact with the insect nicotinic acetylcholine receptor. The effects of imidacloprid at a dose that does not affect sensory or motor functions are studied on non-associative learning abilities in the honeybee. The behavioral procedure is the habituation of the proboscis extension reflex (PER). Imidacloprid topically applied on the thorax (1 μl) at the doses of 5, 10, and 20 ng/bee induces an increase of the gustatory threshold defined as the lowest concentration of a sucrose solution applied to the antennae able to elicit the PER. The ability of the honeybee to move in an open-field-like apparatus is impaired at the doses of 2.5, 5, 10, and 20 ng/bee. These effects are amplified with time and reach a maximum 60 min after application. The lowest dose of 1.25 ng/bee has no effect on the gustatory function but increases the motor activity and facilitates the PER habituation independently of time. This result fits our hypothesis that a slight activation of the cholinergic system with a low dose of imidacloprid can facilitate a simple form of learning in the honeybee. Arch. Insect Biochem. Physiol. 48:129-134, 2001. © 2001 Wiley-Liss, Inc.",2001,10.1002/arch.1065,48,,0,0.0,,0.0,,,,,,,,0.0,0.0,
Immunosuppression in Honeybee Queens by the Neonicotinoids Thiacloprid and Clothianidin,858,JOUR,"['Brandt, A.', 'Grikscheit, K.', 'Siede, R.', 'Grosse, R.', 'Meixner, M.D.', 'Büchler, R.']",Scientific Reports,"Queen health is crucial to colony survival of honeybees, since reproduction and colony growth rely solely on the queen. Queen failure is considered a relevant cause of colony losses, yet few data exist concerning effects of environmental stressors on queens. Here we demonstrate for the first time that exposure to field-realistic concentrations of neonicotinoid pesticides can severely affect the immunocompetence of queens of western honeybees (Apis mellifera L.). In young queens exposed to thiacloprid (200 μg/l or 2000 μg/l) or clothianidin (10 μg/l or 50 μg/l), the total hemocyte number and the proportion of active, differentiated hemocytes was significantly reduced. Moreover, functional aspects of the immune defence namely the wound healing/melanisation response, as well as the antimicrobial activity of the hemolymph were impaired. Our results demonstrate that neonicotinoid insecticides can negatively affect the immunocompetence of queens, possibly leading to an impaired disease resistance capacity. © 2017 The Author(s).",2017,10.1038/s41598-017-04734-1,7,,0,,0.0,,0.0,,,,0.0,,,,,
In vivo distribution and metabolisation of 14C-imidacloprid in different compartments of Apis mellifera L,51,JOUR,"['Suchail, S.', 'De Sousa, G.', 'Rahmani, R.', 'Belzunces, L.P.']",Pest Management Science,"In vivo distribution of the neonicotinoid insecticide, imidacloprid, was followed during 72 h in six biological compartments of Apis mellifera L: head, thorax, abdomen, haemolymph, midgut and rectum. Honeybees were treated orally with 100 μg of 14C-imidacloprid per kg of bee, a dose close to the median lethal dose. Elimination half-life of total radioactivity in honeybee was 25 h. Haemolymph was the compartment with the lowest and rectum that with the highest level of total radioactivity during the whole study, with a maximum 24 h after treatment. Elimination half-life of imidacloprid in whole honeybee was 5 h. Imidacloprid was readily distributed and metabolised only by Phase I enzymes into five metabolites: 4/5-hydroxy-imidacloprid, 4,5-dihydroxy- imidacloprid, 6-chloronicotinic acid, and olefin and urea derivatives. The guanidine derivative was not detected. The urea derivative and 6-chloronicotinic acid were the main metabolites and appeared particularly in midgut and rectum. The olefin derivative and 4/5-hydroxy-imidacloprid preferentially occurred in head, thorax and abdomen, which are nicotinic acetylcholine receptor-rich tissues. Moreover, they presented a peak value around 4 h after imidacloprid ingestion. These results explain the prolongation of imidacloprid action in bees, and particularly the differences between rapid intoxication symptoms and late mortality. © 2004 Society of Chemical Industry.",2004,10.1002/ps.895,60,,0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,
