title,record_id,type_of_reference,authors,secondary_title,abstract,year,doi,volume,commu_AB,commu_RP,indiv_AB,indiv_RP,letha_ER,letha_ES,letha_NN,letha_RP,molec_AH,molec_AJ,molec_EA,popul_CB,popul_RP,subin_RP,subin_RT,asreview_prior,exported_notes_1,included,asreview_ranking
Effects of phenolic bioactive substances on reducing mortality of bees (Apis mellifera) intoxicated by thiacloprid,1032,CONF,"['Hybl, M', 'Mraz, P', 'Sipos, J', 'Kovarova, D', 'Pridal, A']",MENDELNET 2019: PROCEEDINGS OF 26TH INTERNATIONAL PHD STUDENTS CONFERENCE,"Nutrition is one of the major concerns related to the world decline in honey bee populations as malnutrition in the honeybee is associated with immune system impairment and increased pesticide susceptibility. The aim of this study was to test the effect of biologically active substances (mixture of phenolic acids and flavonoids) on mortality of worker bees intoxicated by thiacloprid. The tests were carried out in vitro on caged bees. Significantly lower mortality rate was observed in intoxicated bees treated by a mixture of phenolic compounds compared with the intoxicated and the untreated bees. It resulted probably from increased detoxification abilities of bees (due to increased phenol content and antioxidant activity in bee bodies). Therefore, the addition of phenolic substances to bee nutrition can probably lead to increased detoxifying capacity of bees which is often reduced by malnutrition caused by degradation of environment and common beekeeping management.",2019,,,,0,1.0,0.0,1.0,,,,0.0,0.0,0.0,,0.0,0.0,,,,,
Effects of sublethal doses of crop protection agents on honey bee (Apis mellifera) global colony vitality and its potential link with aberrant foraging activity.,1000,JOUR,"['Beliën, T.', 'Kellers, J.', 'Heylen, K.', 'Keulemans, W.', 'Billen, J.', 'Arckens, L.', 'Huybrechts, R.', 'Gobin, B.']",Communications in agricultural and applied biological sciences,"Honey bees (Apis mellifera) are the most economically valuable pollinators of fruit crops worldwide. Taking into account bees' contributions to other flowering agricultural crops, about one-third of our total diet comes directly or indirectly from bee-pollinated plants. However, in recent years there increasingly have been worrisome alarm sounds on serious bee mortalities and mysterious disappearance of bees from beehives. Among several environmental factors (e.g. climate and bee pathogens), stress factors arising from agricultural practices can potentially play a role in bee losses. Detailed knowledge on the effects of plant protection products is essential to improve usage with minimal risks. In order to identify potential medium- and long-term effects, we followed up various sublethal contaminated hives during the prolongation of the fruit-growing season. More specifically, a large-scale experiment was conducted in which at four distinct locations (in the Limburg region of Belgium) four different bee colonies (representing three different contaminations -imidacloprid, fenoxycarb, indoxacarb- and a non-contaminated control hive) were thoroughly monitored every 2-7 days. Our observations point towards decays of overall colony vitality for several hives a couple of weeks after treatment, as indicated by a set of carefully assessed parameters including the total amount of active and dead bees, total surface of capped brood and overall colony weight. These outcomes could be linked to subtle differences in foraging activity between distinct hives. The implications of these results are discussed in terms of potential short-term and long-term consequences of disturbed foraging ability triggered by exaggerated exposure to sublethal doses of crop protection chemicals, and its potential impact on colony health.",2009,,74,,0,0.0,,,0.0,,,,,,,1.0,0.0,,,,,
Evaluation of the Use of the Inhibition Esterases Activity on Apis mellifera as Bioindicators of Insecticide Thiamethoxam Pesticide Residues,1016,JOUR,"['Hashimoto, J.H.', 'Colla Ruvolo-Takasusuki, M.C.', 'Arnaut De Toledo, V.D.A.']",Sociobiology,"A trial was carried out to estimate the LC50 and esterase activity of Apis mellifera L. honeybees after the application of the insecticide thiamethoxam. In insects this product mimics acetylcholine at the central system ganglia. The estimated LC50 were as follows: for oral toxicity: 4.70 x 10-5, 7.40 x 10-5, 8.14 x 10 -5, 10.10 x 10-5mg/mL for the ages of newly emerged, 7, 14 and 21 days, respectively; for contact toxicity, 3.21, 3.50 and 4.51 mg/mL for newly emerged individuals and for the ages of seven and 14 days, respectively. Electrophoretic analysis showed a decrease in the activity of esterases 1,2,4 and 5 due to contact and oral toxicity, suggesting that alteration in the activity of those isozymes can be used to detect the presence of insecticide thiamethoxam pesticide residues.",2003,,42,0.0,0,0.0,,1.0,,1.0,,,0.0,,,0.0,0.0,,,,,
"Evaluation of toxicity of certain insecticides to India honeybee, Apis cerana indica F.",139,JOUR,"['Chandramani, P.', 'Rani, B.U.', 'Muthiah, C.', 'Kumar, S.']",Pestology,"The recommended dose of cypermethrin, imidacloprid, thiomethoxam, spinosad, Dimethoate, monocrotophos, endosulfan, neem oil, neem seed kernel extract and pungam oil was tested for oral toxicity against Indian honey bee, Apis cerana indica (F.) under laboratory conditions. The oral toxicity studies revealed that the toxicity of insecticides, neonicotinoid compounds and selective botanicals to Apis cerena indica increased with time. The descending order of oral toxicity of 10 test insecticides is cypermethrin> monocrotophos > endosulfan > dimethoate > thiomethoxam > imidacloprid > spinosad > pungam oil > neemoil and NSKE.",2008,,32,,0,,0.0,1.0,,,,,0.0,,,,0.0,,,,,
Exposure to field-realistic concentrations of imidacloprid at different ambient temperatures disrupts non-flight metabolic rate in honey bee (Apis mellifera) foragers,728,JOUR,"['Gooley, Z.C.', 'Gooley, A.C.']",Bulletin of Insectology,"Pollinators facilitate the reproduction of the majority of the world’s plants but some of the most economically important pol linat-ing insects (Hymenoptera Apoidea) have undergone declines, possibly due to neonicotinoid agricultural pesticides. Sublethal exposure to neonicotinoids can affect insects’ behavioral and physiological performance, and the detoxification of these pesticides likely affects insects’ metabolism. We measured honey bee (Apis mellifera L.) foragers’ CO2 production rates at different temperatures (25, 30, or 35 °C) after they consumed syrup dosed with a field realistic (5 µg/L) or high (20 µg/L) concentration of a neon-icotinoid insecticide (i.e. imidacloprid) for 48 hours. We found that imidacloprid exposure significantly disrupted honey bees’ non-flight metabolic rates and there was a significant interaction between imidacloprid dosage and ambient temperature. Honey bee foragers dosed with 5 µg/L imidacloprid displayed higher average metabolic rates and those dosed with 20 µg/L imidacloprid displayed similar average metabolic rates compared to the corresponding control group across all temperatures. Exposure to fi eld realistic concentrations of neonicotinoid may have a higher energetic cost for honey bees at 25 °C than at higher ambient tempera-tures. Disrupted energy costs in honey bees fed imidacloprid might be due to the thermoregulation, nerve excitation, or detoxification processes. Metabolic rate changes caused by pesticide exposure could result in less available energy for honey bees to per-form hive duties and forage, which could negatively affect colony health. © 2020, Department of Agricultural and Food Sciences. All rights reserved.",2020,,73,,0,,1.0,,0.0,,,0.0,0.0,0.0,,,0.0,,,,,
Impairment of olfactory learning performances in the honey bee after long term ingestion of imidacloprid,1038,CONF,"['Decourtye, A', 'Le Metayer, M', 'Pottiau, H', 'Tisseur, M', 'Odoux, JF', 'Pham-Delegue, MH']",HAZARDS OF PESTICIDES TO BEES,"Although the classical means of assessing toxicity of pesticides in honey are based on the determination of mortality in acute toxicity tests, it is also important to examine the effect of ecologically relevant sublethal exposure on various aspects of the honey bee behaviours. Methods used to study learning processes and foraging behaviour were adapted to test the sublethal effects of the insecticide molecule imidacloprid (chloronicotinyl) at both individual and colony levels under confined conditions. At the individual level, we studied the effects of long term ingestion of 4-40 ppb imidacloprid (11 days administration) on olfactory learning performances using the olfactory conditioning of proboscis extension on restrained bees. At the colony level, a sugar solution containing 50 ppb of imidacloprid was fed to a colony in a flight cage (14 days administration) to determine the effects (1) on the flight activity as measured with an activity counter set at the hive entrance and (2) on the olfactory discrimination performances on an artificial flower feeder. The olfactory conditioning showed that honey bees surviving the diet contaminated with imidacloprid had reduced olfactory learning performances. Only the concentration of 4 ppb induced a percentage of mortality not significantly different from the control diet after long term ingestion. In the flight cage, the administration of imidacloprid led to a decrease in the flight activity and the olfactory discrimination performances. Thus, the decrease in the learning performances induced by imidacloprid at the individual level was confirmed at the colony level. However, it would be necessary to conduct further work on the dose-reponse relationships, and on the sublethal effects of differents pesticides, before concluding about the hazard of imidacloprid on honey bees.",2001,,,,0,1.0,,,0.0,,,,,,,0.0,0.0,,,,,
In situ replication of honey bee colony collapse disorder,991,JOUR,"['Lu, C.', 'Warchol, K.M.', 'Callahan, R.A.']",Bulletin of Insectology,"The concern of persistent loss of honey bee (Apis mellifera L.) colonies worldwide since 2006, a phenomenon referred to as colony collapse disorder (CCD), has led us to investigate the role of imidacloprid, one of the neonicotinoid insecticides, in the emergence of CCD. CCD is commonly characterized by the sudden disappearance of honey bees (specifically worker bees) from hives containing adequate food and various stages of brood in abandoned colonies that are not occupied by honey bees from other colonies. This in situ study was designed to replicate CCD based on a plausible mechanistic hypothesis in which the occurrence of CCD since 2006 was resulted from the presence of imidacloprid, one of the neonicotinoid insecticides, in high-fructose corn syrup (HFCS), fed to honey bees as an alternative to sucrose-based food. We used a replicated split-plot design consisting of 4 independent apiary sites. Each apiary consisted of 4 different imidacloprid-treated hives and a control hive. The dosages used in this study were determined to reflect imidacloprid residue levels reported in the environment previously. All hives had no diseases of symptoms of parasitism during the 13-week dosing regime, and were alive 12 weeks afterward. However, 15 of 16 imidacloprid-treated hives (94%) were dead across 4 apiaries 23 weeks post imidacloprid dosing. Dead hives were remarkably empty except for stores of food and some pollen left, a resemblance of CCD. Data from this in situ study provide convincing evidence that exposure to sub-lethal levels of imidacloprid in HFCS causes honey bees to exhibit symptoms consistent to CCD 23 weeks post imida-cloprid dosing. The survival of the control hives managed alongside with the pesticide-treated hives unequivocally augments this conclusion. The observed delayed mortality in honey bees caused by imidacloprid in HFCS is a novel and plausible mechanism for CCD, and should be validated in future studies.",2012,,65,,0,,0.0,0.0,,,,,,,1.0,,,,,,,
Managing nuclei in insect-proof tunnel as an observation tool for foraging bees : sublethal effects of deltamethrin and imidacloprid,1044,CONF,"['Colin, ME', 'Le Conte, Y', 'Vermandere, JP']",HAZARDS OF PESTICIDES TO BEES,"A 8 x 20 m insect-proof tunnel is used to separate the experimental bees from those of the nearby colonies and to make certain of their food source. Nuclei enclosing one-fourth Dadant frame, are made with Plexiglas sides allowing a complete observation of the insects. After the nuclei are filled with pollen, brood and 1,000 adult bees, foraging bees are trained to visit a feeding station placed at the center of the tunnel, which means a 10 m distance from the entrance of the nuclei. The day-time of the disposal of the sugar solution is to be strictly regarded. When the foragers are well trained to forage a sucrose solution, a contaminated one is offered the following days. Criteria of observation can be (i) the foragers recruitment, (ii) the number of feeding bees and their behaviour at the feeder, (iii) the return flights, (iv) the trophallaxis inside the nucleus. Such a protocol has been put into practice to demonstrate the alteration of the homing flight in bees exposed to sublethal doses of deltamethrin (Vandame et al., 1995). Since, it has been improved and revealed some features of the toxicity of imidacloprid at sublethal doses.",2001,,,,0,0.0,,0.0,,,,,,,,1.0,0.0,,,,,
Median lethal time of new pesticides to foragers of honey bees,415,JOUR,"['Khan, R.B.', 'Dethe, M.D.']",Pestology,"Bioassay using Indian foragers honey bees, Apis cerana indica Fabricius, as test insect was carried out to determine the median lethal time (LT in hrs). (LT50) of 19.34 hrs was obtained in the case of endosulfan 35 EC which was followed by lambda-cyhalothrin 5 EC (16.69 hrs) and alpha-endosulfan 35 EC (14.98 hrs). In rest of the test compounds, viz. imidacloprid 200 SL, thiamethoxan 25 WG, beta-cyfluthrin 25 EC, thiacloprid 240 SC and abamectin 1.8 EC, the (LT50) values were in the range of 12.19 to 13.93 hrs.",2004,,28,,0,0.0,,,,0.0,1.0,,0.0,,,0.0,0.0,,,,,
Reduction in homing flights in the honey bee Apis mellifera after a sublethal dose of neonicotinoid insecticides,969,JOUR,"['Matsumoto, T.']",Bulletin of Insectology,"The negative effects of a commonly applied systemic insecticide, neonicotinoid, on the honey bee Apis mellifera L. are of great concern worldwide, as the use of the chemical is expanding. Recently, special attention has been paid to the sublethal effects of insecticides. An increasing number of studies has identified sublethal effects on the honey bee in the laboratory or in experimental cages, but so far, few studies have examined sublethal effects in the field. To reveal sublethal effects under field conditions, I examined whether the proportion of successful homing flights by foraging honey bees during 30 min after release decreased after bees were topically exposed to insecticides. Honey bees were treated with two types of neonicotinoid insecticide (clothianidin, dinotefuran) and two types of previously common insecticide (etofenprox [pyrethroid] and fenitrothion [organophosphate]) at five different doses (one-half, one-fourth, one-tenth, one-twentieth, and one-fortieth of their median lethal dose - LD50). Then the bees were released 500 m from their hives in the field. The proportions of successful homing flights by bees exposed to neonicotinoids and pyrethroid decreased with doses of one-tenth LD50 (2.18 ng/ head for clothianidin, 7.5 ng/ head for dinotefuran) or more and one-fourth LD50 (32.5 ng/ head for pyrethroid) or more, respectively, whereas bees exposed to organophosphate did not significantly show a response at any sublethal dose though the trend in decline appeared to. Flight times were not significantly different among treatments at any dose. These results indicate that neonicotinoid and pyrethroid exposure reduced successful homing flights at doses far below the LD50 in the field. Moreover, neonicotinoid caused reductions at relatively lower exposure than pyrethroid.",2013,,66,,0,,1.0,,1.0,,,,0.0,0.0,,,0.0,,,,,
